vol_regime,trend_regime,session_regime,event_type,event_direction,horizon,n,hit_rate,expectancy,exp_brl,sharpe,max_dd,pf,p_binom,p_binom_fdr,fdr_significant
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,EXHAUSTION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CORE,NONE,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,10,0,,,,,,,,,False
